country,arrivals,ISO3_code,AveragePopulation,ArrivalsPer1000,Continent
ABW,2,ABW,107.99936363636364,18.51862763501132,Americas
AFG,2750,AFG,42154.94209090909,65.23553025098451,Asia
AGO,169,AGO,37318.52104545455,4.5285824642985,Africa
AIA,4,AIA,14.57218181818182,274.49561430870773,Americas
ALB,1549,ALB,2803.221045454545,552.5786139882622,Europe
AND,194,AND,81.38827272727272,2383.635792961014,Europe
ARE,15461,ARE,10807.789681818182,1430.5422713776395,Europe
ARG,16051,ARG,45647.55190909091,351.6289336165556,Americas
ARM,2158,ARM,2962.206909090909,728.5108927999505,Asia
ATG,578,ATG,93.5769090909091,6176.7374624276,Americas
AUS,889069,AUS,26595.111090909093,33429.790797298345,Oceania
AUT,33865,AUT,9104.849454545454,3719.446452032596,Europe
AZE,3931,AZE,10322.627227272727,380.813906523154,Asia
BDI,157,BDI,13867.044181818184,11.321807152374337,Africa
BEL,47579,BEL,11717.476454545456,4060.515946805518,Europe
BEN,319,BEN,14288.10490909091,22.326263841822296,Africa
BFA,209,BFA,23291.835,8.973101518192964,Africa
BGD,1165402,BGD,172700.82804545455,6748.097349557978,Asia
BGR,9556,BGR,6776.495636363637,1410.168398651531,Europe
BHR,5914,BHR,1588.4068636363636,3723.227427046614,Asia
BHS,240,BHS,400.6328181818182,599.0522720759271,Americas
BIH,2041,BIH,3177.5362727272727,642.3215424849309,Europe
BLR,11138,BLR,9089.886636363635,1225.3178114942589,Europe
BLZ,277,BLZ,413.9202727272727,669.2110008888405,Americas
BMU,4,BMU,64.6471818181818,61.87431358183371,Americas
BOL,1050,BOL,12339.01481818182,85.09593476237674,Americas
BRA,35881,BRA,211679.74513636364,169.50606198474748,Americas
BRB,231,BRB,282.43286363636366,817.8934881225997,Americas
BRN,2588744,BRN,461.1035,5614236.283177204,Asia
BTN,1730,BTN,789.3311363636363,2191.7290732631222,Asia
BWA,518,BWA,2502.466454545455,206.99578172530943,Africa
CAF,13,CAF,5278.197,2.4629622577558203,Africa
CAN,192117,CAN,39539.8105,4858.824500436086,Americas
CHE,60473,CHE,8890.942181818182,6801.641351764294,Americas
CHL,8897,CHL,19724.239409090907,451.0693576300524,Americas
CHN,4008013,CHN,1421030.699090909,2820.4971240692325,Asia
CIV,685,CIV,31554.168500000003,21.708700706215723,Africa
CMR,844,CMR,28756.707363636364,29.349674471676853,Africa
COD,430,COD,107548.24195454545,3.998205755717854,Africa
COG,96,COG,6259.618454545454,15.336398008458342,Africa
COK,1,COK,13.982,71.52052639107424,Oceania
COL,6282,COL,52629.95581818181,119.3616810491372,Americas
COM,547,COM,858.6988181818182,637.0103095730358,Africa
CPV,84,CPV,523.9096818181818,160.33297897547055,Africa
CRI,2269,CRI,5120.933681818182,443.0832619559319,Americas
CUB,856,CUB,11004.696318181816,77.78497245632556,Europe
CYP,2345,CYP,1351.9979999999998,1734.470021405357,Americas
CZE,25563,CZE,10726.897681818182,2383.074842163232,Asia
DEU,339408,DEU,84466.16254545454,4018.271811713374,Africa
DJI,438,DJI,1161.0063181818182,377.258928862614,Europe
DMA,1366,DMA,66.38486363636363,20576.97982905468,Europe
DNK,47641,DNK,5960.194636363637,7993.195341195461,Europe
DOM,712,DOM,11382.83990909091,62.55029550502252,Africa
DZA,22332,DZA,46492.81013636364,480.3323338490432,Africa
ECU,2318,ECU,18070.454681818184,128.2756876246332,Americas
